idx	template	generated_parse	sentence
0	( ROOT ( S ( SBAR ) ( , ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( SBAR ( IN ) ( S ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ) ( , ) ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	if a group of kids is playing in a yard , an old man is standing in the background .
1	GOLD	 (ROOT (S (NP (DT The) (JJ young) (NNS boys)) (VP (VBP are) (SBAR (S (NP (NP (VBG playing) (NNS outdoors)) (CC and) (NP (DT the) (NN man))) (VP (VBZ is) (VP (VBG smiling) (ADVP (RB nearby))))))) (. .)))	the young boys are playing outdoors and the man is smiling nearby .
1	( ROOT ( S ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( NP ( DT ) ( JJ ) ( NNS ) ) ( VP ( VBP ) ( SBAR ( S ( NP ( NP ( VBG ) ( NNS ) ) ( CC ) ( NP ( DT ) ( NN ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( ADVP ( RB ) ) ) ) ) ) ) ( . ) ) )	the young boys are playing outdoors and the man is smiling around .
1	( ROOT ( S ( VP ) ( . ) ) ) EOP	( ROOT ( S ( VP ( VB ) ( NP ( NP ( DT ) ( JJ ) ( NNS ) ) ( CC ) ( NP ( NP ( DT ) ( NN ) ) ( VP ( VBG ) ( ADVP ( RB ) ) ) ) ) ) ( . ) ) )	play the young boys and the man smiling around .
1	( ROOT ( NP ( NP ) ( . ) ) ) EOP	( ROOT ( NP ( NP ( NP ( DT ) ( JJ ) ( NNS ) ) ( SBAR ( S ( NP ( PRP ) ) ( VP ( VBP ) ( SBAR ( S ( NP ( NP ( VBG ) ( NNS ) ) ( CC ) ( NP ( DT ) ( NN ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( ADVP ( RB ) ) ) ) ) ) ) ) ) ) ( . ) ) )	the young boys they play playing outdoors and the man is smiling around .
1	( ROOT ( FRAG ( SBAR ) ( . ) ) ) EOP	( ROOT ( FRAG ( SBAR ( IN ) ( S ( NP ( JJ ) ( NNS ) ) ( VP ( VBP ) ( SBAR ( S ( NP ( NP ( VBG ) ( NNS ) ) ( CC ) ( NP ( DT ) ( NN ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( ADVP ( RB ) ) ) ) ) ) ) ) ) ( . ) ) )	that young boys are playing outdoors and the man is smiling around .
1	( ROOT ( S ( S ) ( , ) ( CC ) ( S ) ( . ) ) ) EOP	( ROOT ( S ( S ( NP ( DT ) ( JJ ) ( NNS ) ) ( VP ( VBP ) ( VP ( VBG ) ) ) ) ( , ) ( CC ) ( S ( NP ( DT ) ( NN ) ) ( VP ( VBZ ) ( ADVP ( RB ) ) ) ) ( . ) ) )	the young boys are playing , and the man smiles nearby .
1	( ROOT ( S ( LST ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( LST ( LS ) ) ( VP ( VBP ) ( SBAR ( S ( NP ( NP ( DT ) ( JJ ) ( NNS ) ) ( CC ) ( NP ( DT ) ( NN ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( ADVP ( RB ) ) ) ) ) ) ) ( . ) ) )	i have the young boys and the man is smiling nearby .
1	( ROOT ( SBARQ ( WHADVP ) ( SQ ) ( . ) ) ) EOP	( ROOT ( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBP ) ( RB ) ( NP ( PRP ) ) ( VP ( VBP ) ( NP ( NP ( DT ) ( JJ ) ( NNS ) ) ( CC ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	why do n't you play the little boys and the guy ?
1	( ROOT ( S ( PP ) ( , ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NNS ) ) ) ( , ) ( NP ( DT ) ( JJ ) ( NNS ) ) ( VP ( VBP ) ( VP ( VBG ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	in the young boys , the young boys are playing in the neighborhood .
1	( ROOT ( S ( ADVP ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( ADVP ( RB ) ) ( NP ( DT ) ( JJ ) ( NNS ) ) ( VP ( VBP ) ( SBAR ( S ( NP ( NP ( VBG ) ( NNS ) ) ( CC ) ( NP ( DT ) ( NN ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( ADVP ( RB ) ) ) ) ) ) ) ( . ) ) )	now the young boys are playing outdoors and the man is smiling around .
1	( ROOT ( S ( SBAR ) ( , ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( SBAR ( IN ) ( S ( NP ( DT ) ( JJ ) ( NNS ) ) ( VP ( VBP ) ( VP ( VBG ) ) ) ) ) ( , ) ( NP ( DT ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( ADVP ( RB ) ) ) ) ( . ) ) )	as the young boys are playing , the man is smiling nearby .
2	GOLD	 (ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG attacking) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ tall) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	a brown dog is attacking another animal in front of the tall man in pants .
2	( ROOT ( S ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ) ) ) ) ) ( . ) ) )	a brown dog attacks another animal in front of a tall man in trousers .
2	( ROOT ( S ( VP ) ( . ) ) ) EOP	( ROOT ( S ( VP ( VBG ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ) ) ) ( . ) ) )	attacking another animal in the tall man in trousers .
2	( ROOT ( NP ( NP ) ( . ) ) ) EOP	( ROOT ( NP ( NP ( NP ( DT ) ( JJ ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ) ) ) ) ( . ) ) )	the brown dog attacks in the front of a tall man in trousers .
2	( ROOT ( FRAG ( SBAR ) ( . ) ) ) EOP	( ROOT ( FRAG ( SBAR ( IN ) ( S ( NP ( JJ ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ) ) ) ) ) ) ( . ) ) )	that brown dog is attacking another animal in the tall man in trousers .
2	( ROOT ( S ( S ) ( , ) ( CC ) ( S ) ( . ) ) ) EOP	( ROOT ( S ( S ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( NN ) ) ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ) ) ) ) ) ) ( , ) ( CC ) ( S ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NN ) ) ) ) ) ) ) ( . ) ) )	a brown dog is attacking another animal in front of the tall man , and the brown dog is attacking another animal in front .
2	( ROOT ( S ( LST ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( LST ( LS ) ) ( VP ( VBP ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ) ) ) ) ) ( . ) ) )	i have another animal in front of a tall man in trousers .
2	( ROOT ( SBARQ ( WHADVP ) ( SQ ) ( . ) ) ) EOP	( ROOT ( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ) ) ) ( . ) ) )	when is another animal in the tall man in trousers ?
2	( ROOT ( S ( PP ) ( , ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ( , ) ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ) ) ) ) ( . ) ) )	before the tall man , the brown dog is attacking another animal in the tall man in trousers .
2	( ROOT ( S ( ADVP ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( ADVP ( RB ) ) ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ) ) ) ) ) ( . ) ) )	then a brown dog attacks another animal in front of a tall man in trousers .
2	( ROOT ( S ( SBAR ) ( , ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( SBAR ( IN ) ( S ( NP ( DT ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBN ) ) ) ) ) ( , ) ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( PP ( IN ) ( NP ( NNS ) ) ) ) ) ) ) ) ) ) ( . ) ) )	so the dog is attacked , the brown dog is attacking another animal in front of the tall man in trousers .
3	GOLD	 (ROOT (S (NP (NP (DT A) (NN person)) (PP (IN in) (NP (DT a) (JJ black) (NN jacket)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike))))) (. .)))	a person in a black jacket is doing tricks on a motorbike .
3	( ROOT ( S ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NNS ) ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	a man in a black jacket is doing tricks on a motorcycle .
3	( ROOT ( S ( VP ) ( . ) ) ) EOP	( ROOT ( S ( VP ( VB ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ) ) ( . ) ) )	get a guy in a black jacket .
3	( ROOT ( NP ( NP ) ( . ) ) ) EOP	( ROOT ( NP ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBG ) ( NP ( NNS ) ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ) ( . ) ) )	a man in a black jacket doing tricks on a motorcycle .
3	( ROOT ( FRAG ( SBAR ) ( . ) ) ) EOP	( ROOT ( FRAG ( SBAR ( IN ) ( S ( NP ( NP ( NN ) ) ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NNS ) ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ) ( . ) ) )	that person in the black jacket is doing tricks on a motorcycle .
3	( ROOT ( S ( S ) ( , ) ( CC ) ( S ) ( . ) ) ) EOP	( ROOT ( S ( S ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NNS ) ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ) ( , ) ( CC ) ( S ( NP ( PRP ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NNS ) ) ) ) ) ( . ) ) )	a man in a black jacket is doing tricks on a motorcycle , and he 's playing tricks .
3	( ROOT ( S ( LST ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( LST ( LS ) ) ( VP ( VBP ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ) ) ) ) ( . ) ) )	i have a man in a jacket on a black bike .
3	( ROOT ( SBARQ ( WHADVP ) ( SQ ) ( . ) ) ) EOP	( ROOT ( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ) ( VP ( VBG ) ( NP ( NNS ) ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	why is a man in a black jacket doing tricks on a motorcycle ?
3	( ROOT ( S ( PP ) ( , ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ( , ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NNS ) ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	on the bike , a man in a black jacket is doing tricks on a motorcycle .
3	( ROOT ( S ( ADVP ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( ADVP ( RB ) ) ( NP ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ( DT ) ( JJ ) ( NN ) ) ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NNS ) ) ( PP ( IN ) ( NP ( DT ) ( NN ) ) ) ) ) ( . ) ) )	maybe a man in a black jacket is doing tricks on a motorcycle .
3	( ROOT ( S ( SBAR ) ( , ) ( NP ) ( VP ) ( . ) ) ) EOP	( ROOT ( S ( SBAR ( WHADVP ( WRB ) ) ( S ( NP ( DT ) ( JJ ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ) ) ) ) ( , ) ( NP ( DT ) ( NN ) ) ( VP ( VBZ ) ( VP ( VBG ) ( NP ( NNS ) ) ) ) ( . ) ) )	when a black jacket is running , the man is wearing tricks .
